H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod       10 dzeit  5.77E-02 agej  1.7100E-01
 # t9 =    5.500E-02 rho =    1.000E+02
 # densn  5.25883E+00
 # densp  4.24452E+25
 # densa  4.15132E+24
 # total_energy_flux_[erg/(g*s)]  5.26243E+08
    1     0.   1.   1   8.73249E-26  NEUT 
    2     1.   1.   1   7.04819E-01  PROT 
    3     1.   2.   1   2.31994E-18  H   2
    4     2.   3.   1   1.63242E-08  HE  3
    5     2.   4.   1   2.75737E-01  HE  4
    6     4.   7.   1   1.49489E-10  BE  7
    7     5.   8.   1   5.68925E-14  B   8
    8     3.   7.   1   1.29444E-19  LI  7
    9     6.  11.   1   9.84305E-23  C  11
   10     5.  11.   1   4.72517E-09  B  11
   11     6.  12.   1   7.16289E-05  C  12
   12     6.  13.   1   1.96373E-05  C  13
   13     7.  13.   1   2.08677E-07  N  13
   14     7.  14.   1   4.83241E-03  N  14
   15     6.  14.   1   9.71159E-11  C  14
   16     7.  15.   1   8.06539E-08  N  15
   17     8.  16.   1   9.31636E-03  O  16
   18     8.  17.   1   1.23003E-05  O  17
   19     8.  18.   1   1.28718E-08  O  18
   20     9.  17.   1   5.24667E-09  F  17
   21     9.  18.   1   5.92720E-09  F  18
   22     9.  19.   1   1.23758E-07  F  19
   23    10.  20.   1   1.61875E-03  NE 20
   24    10.  21.   1   1.23309E-06  NE 21
   25    10.  22.   1   1.28892E-04  NE 22
   26    11.  22.   1   3.25544E-06  NA 22
   27    11.  23.   1   3.48545E-05  NA 23
   28    12.  23.   1   3.39750E-13  MG 23
   29    12.  24.   1   5.14850E-04  MG 24
   30    12.  25.   1   6.70160E-05  MG 25
   31    12.  26.   1   7.75486E-05  MG 26
   32    13.  26.   1   6.72001E-07  AL 26
   33    13.  27.   1   5.80363E-05  AL 27
   34    14.  27.   1   1.06035E-16  SI 27
   35    14.  28.   1   6.53023E-04  SI 28
   36    14.  29.   1   3.42611E-05  SI 29
   37    14.  30.   1   2.35271E-05  SI 30
   38    15.  31.   1   8.15575E-06  P  31
   39    16.  31.   1   1.00004E-99  S  31
   43     4.   8.   1   1.00004E-99  BE  8
   44     8.  14.   1   2.11938E-14  O  14
   45     8.  15.   1   4.91767E-08  O  15
   46    11.  21.   1   2.17898E-12  NA 21
   47    13.  25.   1   1.90541E-15  AL 25
   48    15.  29.   1   2.28179E-19  P  29
   49    15.  30.   1   4.03187E-15  P  30
   50    82. 206.   1   3.09012E-09  PB206
   51    82. 207.   1   3.37213E-09  PB207
   52    83. 211.   1   3.18307E-33  BI211
   53    84. 210.   1   1.24367E-14  PO210
   55     1.   3.   1   1.74335E-09  H   3
   56     9.  20.   1   1.23216E-24  F  20
   57    10.  19.   1   1.05095E-15  NE 19
   58    11.  24.   1   1.57715E-17  NA 24
   59    12.  27.   1   2.10783E-21  MG 27
